"all.data.peaks.deseq2_LamBKO.seqnames"	"all.data.peaks.deseq2_LamBKO.start"	"all.data.peaks.deseq2_LamBKO.end"	"all.data.peaks.deseq2_LamBKO.width"	"all.data.peaks.deseq2_LamBKO.strand"	"all.data.peaks.deseq2_LamBKO.Conc"	"all.data.peaks.deseq2_LamBKO.Conc_Group1"	"all.data.peaks.deseq2_LamBKO.Conc_Group2"	"all.data.peaks.deseq2_LamBKO.Fold"	"all.data.peaks.deseq2_LamBKO.p.value"	"all.data.peaks.deseq2_LamBKO.FDR"	"all.data.peaks.deseq2_LamBKO.peak"	"all.data.peaks.deseq2_LamBKO.feature"	"all.data.peaks.deseq2_LamBKO.start_position"	"all.data.peaks.deseq2_LamBKO.end_position"	"all.data.peaks.deseq2_LamBKO.feature_strand"	"all.data.peaks.deseq2_LamBKO.insideFeature"	"all.data.peaks.deseq2_LamBKO.distancetoFeature"	"all.data.peaks.deseq2_LamBKO.shortestDistance"	"all.data.peaks.deseq2_LamBKO.fromOverlappingOrNearest"	"all.data.peaks.deseq2_LamBKO.symbol"	"all.data.peaks.deseq2_LamBKO.genename"
"chr2L"	9567582	9567782	201	"*"	6.48	6.69	6.33	0.35	0.0982	0.571	"1069"	"FBgn0032129"	9547720	9566750	"-"	"upstream"	-832	832	"NearestLocation"	"jp"	"junctophilin"
"chr2L"	19935156	19935356	201	"*"	5.99	6.21	5.84	0.36	0.0982	0.571	"2010"	"FBgn0266693"	19933636	19934317	"-"	"upstream"	-839	839	"NearestLocation"	NA	NA
"chr3R"	26982928	26983128	201	"*"	4.37	4.73	4.11	0.62	0.0982	0.571	"9728"	"FBgn0039467"	26978541	26985706	"+"	"inside"	4387	2578	"NearestLocation"	"CG14253"	"uncharacterized protein"
"chr3R"	26982928	26983128	201	"*"	4.37	4.73	4.11	0.62	0.0982	0.571	"9728"	"FBgn0284229"	26978541	26985706	"+"	"inside"	4387	2578	"NearestLocation"	"CG46313"	"uncharacterized protein"
"chrX"	16716876	16717076	201	"*"	4.67	4.96	4.47	0.5	0.0983	0.571	"12054"	"FBgn0052572"	16721183	16726948	"+"	"upstream"	-4307	4107	"NearestLocation"	"CG32572"	"uncharacterized protein"
"chr3L"	8186884	8187084	201	"*"	7.92	8.07	7.82	0.26	0.0984	0.571	"5563"	"FBgn0035850"	8186857	8191118	"+"	"inside"	27	27	"NearestLocation"	"Atg18a"	"Autophagy-related 18a"
"chrX"	5705960	5706160	201	"*"	5.19	5.45	5	0.45	0.0985	0.571	"10865"	"FBgn0029791"	5698557	5708633	"+"	"inside"	7403	2473	"NearestLocation"	"AdamTS-B"	"ADAM metallopeptidase with thrombospondin type 1 motif B"
"chrX"	2073397	2073597	201	"*"	6.73	6.93	6.59	0.34	0.0985	0.571	"10521"	"FBgn0025628"	2066435	2073483	"-"	"overlapStart"	86	86	"NearestLocation"	"CG4199"	"uncharacterized protein"
"chr2L"	21618712	21618912	201	"*"	6.06	6.3	5.89	0.41	0.0985	0.571	"2167"	"FBgn0032955"	21614232	21624080	"-"	"inside"	5368	4480	"NearestLocation"	"CG2201"	"uncharacterized protein"
"chr3R"	13782380	13782580	201	"*"	5.75	5.99	5.59	0.4	0.0985	0.571	"8302"	"FBgn0000454"	13782288	13785676	"+"	"inside"	92	92	"NearestLocation"	"Dip-B"	"Dipeptidase B"
"chr2L"	7809669	7809869	201	"*"	7.84	8.02	7.72	0.3	0.0985	0.571	"836"	"FBgn0031952"	7801668	7810703	"-"	"inside"	1034	834	"NearestLocation"	"cdc14"	"cell division cycle 14"
"chrX"	16683509	16683709	201	"*"	6.47	6.7	6.31	0.39	0.0986	0.571	"12051"	"FBgn0000152"	16680089	16683895	"-"	"inside"	386	186	"NearestLocation"	"Axs"	"Abnormal X segregation"
"chr2R"	22478245	22478445	201	"*"	7.12	7.28	7.01	0.27	0.0986	0.571	"4317"	"FBgn0034733"	22478379	22483054	"+"	"overlapStart"	-134	66	"NearestLocation"	"CG4752"	"uncharacterized protein"
"chr3L"	40296	40496	201	"*"	7.17	7.36	7.05	0.3	0.0986	0.571	"4663"	"FBgn0262679"	53873	54751	"-"	"downstream"	14455	13377	"NearestLocation"	"CG43149"	"uncharacterized protein"
"chr2R"	7031378	7031578	201	"*"	6.07	6.32	5.88	0.44	0.0986	0.571	"2438"	"FBgn0033129"	7033562	7034920	"+"	"upstream"	-2184	1984	"NearestLocation"	"Tsp42Eh"	"Tetraspanin 42Eh"
"chrX"	11678933	11679133	201	"*"	5.54	5.78	5.38	0.4	0.0987	0.571	"11536"	"FBgn0014133"	11678970	11694740	"+"	"overlapStart"	-37	37	"NearestLocation"	"bif"	"bifocal"
"chr3L"	2589320	2589520	201	"*"	6.13	6.37	5.97	0.39	0.099	0.571	"5009"	"FBgn0016794"	2589414	2595590	"+"	"overlapStart"	-94	94	"NearestLocation"	"dos"	"daughter of sevenless"
"chr3L"	25120616	25120816	201	"*"	6.13	6.35	5.97	0.38	0.0991	0.571	"7259"	"FBgn0260008"	25120709	25126171	"+"	"overlapStart"	-93	93	"NearestLocation"	"UQCR-11"	"Ubiquinol-cytochrome c reductase 11 kDa subunit"
"chr3R"	9435198	9435398	201	"*"	5.8	6.06	5.62	0.44	0.0991	0.571	"7834"	"FBgn0261552"	9417940	9455500	"+"	"inside"	17258	17258	"NearestLocation"	"ps"	"pasilla"
"chrX"	18789057	18789257	201	"*"	6.06	6.28	5.91	0.37	0.0992	0.571	"12306"	"FBgn0283473"	18788464	18806057	"+"	"inside"	593	593	"NearestLocation"	"S6KL"	"S6 Kinase Like"
"chr3L"	8746746	8746946	201	"*"	4.17	4.52	3.91	0.61	0.0992	0.571	"5656"	"FBgn0003149"	8732858	8745310	"-"	"upstream"	-1436	1436	"NearestLocation"	"Prm"	"Paramyosin"
"chrX"	9500094	9500294	201	"*"	6.52	6.72	6.38	0.35	0.0992	0.571	"11301"	"FBgn0261260"	9358496	9500129	"-"	"overlapStart"	35	35	"NearestLocation"	"mgl"	"Megalin"
"chrX"	3289214	3289414	201	"*"	6.09	6.33	5.92	0.41	0.0993	0.571	"10664"	"FBgn0029656"	3314744	3316402	"-"	"downstream"	27188	25330	"NearestLocation"	"CG10793"	"uncharacterized protein"
"chr2L"	12823958	12824158	201	"*"	4.43	4.73	4.21	0.52	0.0993	0.571	"1418"	"FBgn0015399"	12817000	12822787	"-"	"upstream"	-1171	1171	"NearestLocation"	"kek1"	"kekkon 1"
"chrX"	14826019	14826219	201	"*"	7.02	7.22	6.89	0.33	0.0993	0.571	"11843"	"FBgn0003301"	14787478	14826073	"-"	"overlapStart"	54	54	"NearestLocation"	"rut"	"rutabaga"
"chr3L"	12203799	12203999	201	"*"	6.49	6.73	6.32	0.42	0.0994	0.571	"6096"	"FBgn0022709"	12200322	12204082	"-"	"inside"	283	83	"NearestLocation"	"Adk1"	"Adenylate kinase 1"
"chr3R"	15473278	15473478	201	"*"	4.97	5.23	4.78	0.45	0.0994	0.571	"8520"	"FBgn0286736"	15472138	15472648	"-"	"upstream"	-630	630	"NearestLocation"	NA	NA
"chr3R"	28901624	28901824	201	"*"	4.43	4.11	4.6	-0.48	0.0994	0.571	"9856"	"FBgn0265998"	28888073	28922772	"+"	"inside"	13551	13551	"NearestLocation"	"Doa"	"Darkener of apricot"
"chr2L"	16325864	16326064	201	"*"	7.79	7.96	7.68	0.28	0.0995	0.571	"1677"	"FBgn0000250"	16313036	16326207	"-"	"inside"	343	143	"NearestLocation"	"cact"	"cactus"
"chr3R"	15985827	15986027	201	"*"	5.7	5.91	5.55	0.36	0.0995	0.571	"8561"	"FBgn0003507"	15986152	16004081	"+"	"upstream"	-325	125	"NearestLocation"	"srp"	"serpent"
"chr2R"	24057708	24057908	201	"*"	6.82	7.02	6.68	0.34	0.0995	0.571	"4516"	"FBgn0285952"	24057798	24059483	"+"	"overlapStart"	-90	90	"NearestLocation"	"eEF5"	"eukaryotic translation elongation factor 5"
"chr2R"	7458798	7458998	201	"*"	6.78	6.95	6.66	0.3	0.0995	0.571	"2486"	"FBgn0025885"	7454922	7458874	"-"	"overlapStart"	76	76	"NearestLocation"	"Inos"	"myo-inositol-1-phosphate synthase"
"chr2L"	16507735	16507935	201	"*"	4.94	5.23	4.74	0.5	0.0995	0.571	"1693"	"FBgn0032586"	16491540	16507621	"+"	"downstream"	16195	114	"NearestLocation"	"Tpr2"	"Tetratricopeptide repeat protein 2"
"chrX"	17532129	17532329	201	"*"	5.19	5.46	5	0.46	0.0996	0.571	"12161"	"FBgn0263706"	17456169	17561180	"-"	"inside"	29051	28851	"NearestLocation"	"CG43658"	"uncharacterized protein"
"chrX"	11881883	11882083	201	"*"	5.97	6.21	5.8	0.4	0.0996	0.571	"11567"	"FBgn0030348"	11875306	11877168	"-"	"upstream"	-4715	4715	"NearestLocation"	"CG10352"	"uncharacterized protein"
"chr2R"	6861744	6861944	201	"*"	4.96	4.65	5.11	-0.46	0.0996	0.571	"2412"	"FBgn0265935"	6862001	6872718	"-"	"downstream"	10974	57	"NearestLocation"	"coro"	"Coronin"
"chr2R"	12079506	12079706	201	"*"	4.13	4.46	3.89	0.57	0.0996	0.571	"3099"	"FBgn0033679"	12064565	12079543	"-"	"overlapStart"	37	37	"NearestLocation"	"CG8888"	"uncharacterized protein"
"chrX"	9550850	9551050	201	"*"	5.53	5.75	5.37	0.38	0.0996	0.571	"11304"	"FBgn0267253"	9502826	9550838	"-"	"upstream"	-12	12	"NearestLocation"	"CG32700"	"uncharacterized protein"
"chr2L"	16356634	16356834	201	"*"	5.6	5.88	5.4	0.48	0.0996	0.571	"1680"	"FBgn0025678"	16354886	16356735	"-"	"overlapStart"	101	99	"NearestLocation"	"CaBP1"	"calcium-binding protein 1"
"chr2L"	4838887	4839087	201	"*"	4.89	5.14	4.71	0.44	0.0998	0.571	"492"	"FBgn0031636"	4838347	4841465	"+"	"inside"	540	540	"NearestLocation"	"CG12194"	"uncharacterized protein"
"chr3R"	5778912	5779112	201	"*"	5.91	6.15	5.75	0.4	0.0999	0.571	"7503"	"FBgn0037374"	5779315	5781308	"+"	"upstream"	-403	203	"NearestLocation"	"jagn"	"jagunal"
"chr3R"	15695071	15695271	201	"*"	4.34	4.64	4.13	0.51	0.0999	0.571	"8534"	"FBgn0038353"	15695241	15697142	"+"	"overlapStart"	-170	30	"NearestLocation"	"CG5399"	"uncharacterized protein"
"chrX"	10601586	10601786	201	"*"	6.56	6.76	6.43	0.32	0.0999	0.571	"11411"	"FBgn0030218"	10598146	10602714	"-"	"inside"	1128	928	"NearestLocation"	"CG1628"	"uncharacterized protein"
"chr3L"	16057810	16058010	201	"*"	5.16	5.43	4.97	0.46	0.1	0.571	"6450"	"FBgn0005536"	16051959	16082026	"+"	"inside"	5851	5851	"NearestLocation"	"Mbs"	"Myosin binding subunit"
"chrX"	11339716	11339916	201	"*"	7.13	7.31	7.01	0.29	0.1	0.571	"11482"	"FBgn0085377"	11339873	11344734	"+"	"overlapStart"	-157	43	"NearestLocation"	"CG34348"	"uncharacterized protein"
"chr3L"	12609372	12609572	201	"*"	7.05	7.22	6.93	0.29	0.1	0.571	"6138"	"FBgn0015919"	12609631	12621798	"+"	"upstream"	-259	59	"NearestLocation"	"caup"	"caupolican"
"chr3R"	8357640	8357840	201	"*"	6.48	6.68	6.35	0.34	0.1	0.571	"7727"	"FBgn0020249"	8356978	8359964	"+"	"inside"	662	662	"NearestLocation"	"stck"	"steamer duck"
"chr3R"	10089383	10089583	201	"*"	8.02	8.19	7.9	0.29	0.1	0.571	"7935"	"FBgn0262378"	10091126	10091217	"+"	"upstream"	-1743	1543	"NearestLocation"	NA	NA
"chr2L"	9179369	9179569	201	"*"	7.29	7.46	7.17	0.3	0.1	0.571	"1022"	"FBgn0041092"	9166778	9250211	"+"	"inside"	12591	12591	"NearestLocation"	"tai"	"taiman"
"chr3R"	15865408	15865608	201	"*"	4.52	4.83	4.3	0.52	0.1	0.571	"8546"	"FBgn0038377"	15860196	15861478	"+"	"downstream"	5212	3930	"NearestLocation"	"CG9632"	"uncharacterized protein"
"chr3L"	11232598	11232798	201	"*"	3.59	3.95	3.33	0.63	0.1	0.571	"5980"	"FBgn0266954"	11231307	11231588	"-"	"upstream"	-1010	1010	"NearestLocation"	NA	NA
"chr3L"	21131198	21131398	201	"*"	6.28	6.48	6.16	0.32	0.1	0.571	"7053"	"FBgn0020294"	21075581	21131159	"-"	"upstream"	-39	39	"NearestLocation"	"ko"	"knockout"
"chr3L"	16113362	16113562	201	"*"	7.08	7.28	6.94	0.34	0.1	0.571	"6460"	"FBgn0010280"	16113212	16121651	"+"	"inside"	150	150	"NearestLocation"	"Taf4"	"TBP-associated factor 4"
"chr3L"	2144521	2144721	201	"*"	4.23	3.87	4.41	-0.54	0.1	0.571	"4953"	"FBgn0052311"	2117466	2151700	"-"	"inside"	7179	6979	"NearestLocation"	"zormin"	"zormin"
"chrX"	18085352	18085552	201	"*"	7.19	7.37	7.08	0.29	0.1	0.571	"12225"	"FBgn0030891"	18085761	18088418	"+"	"upstream"	-409	209	"NearestLocation"	"Ada3"	"transcriptional Adaptor 3"
"chrX"	15298695	15298895	201	"*"	8.48	8.67	8.36	0.31	0.101	0.571	"11883"	"FBgn0265611"	15297312	15298217	"-"	"upstream"	-478	478	"NearestLocation"	NA	NA
"chr2R"	23845886	23846086	201	"*"	5.15	5.42	4.97	0.45	0.101	0.571	"4464"	"FBgn0034914"	23845001	23847024	"+"	"inside"	885	885	"NearestLocation"	"CG5554"	"uncharacterized protein"
"chr3L"	16896491	16896691	201	"*"	4.47	4.74	4.28	0.46	0.101	0.571	"6571"	"FBgn0267558"	16882191	16882539	"+"	"downstream"	14300	13952	"NearestLocation"	NA	NA
"chrX"	7696762	7696962	201	"*"	7.52	7.7	7.41	0.29	0.101	0.571	"11083"	"FBgn0262979"	7707775	7708587	"+"	"upstream"	-11013	10813	"NearestLocation"	NA	NA
"chr2R"	24114221	24114421	201	"*"	5.69	5.92	5.54	0.38	0.101	0.571	"4527"	"FBgn0041706"	24114398	24116359	"+"	"overlapStart"	-177	23	"NearestLocation"	"CG3253"	"uncharacterized protein"
"chr2R"	12933947	12934147	201	"*"	5.53	5.78	5.36	0.42	0.101	0.571	"3202"	"FBgn0033783"	12930912	12934045	"-"	"overlapStart"	98	98	"NearestLocation"	"CG17019"	"uncharacterized protein"
"chr2R"	13171256	13171456	201	"*"	6.83	7.04	6.68	0.36	0.101	0.571	"3229"	"FBgn0053138"	13171401	13174796	"+"	"overlapStart"	-145	55	"NearestLocation"	"AGBE"	"1,4-Alpha-Glucan Branching Enzyme"
"chr2R"	24243050	24243250	201	"*"	4.59	4.91	4.35	0.56	0.101	0.571	"4544"	"FBgn0050418"	24243255	24255094	"+"	"upstream"	-205	5	"NearestLocation"	"nord"	"nord"
"chrX"	11304430	11304630	201	"*"	4.94	5.26	4.7	0.57	0.101	0.571	"11479"	"FBgn0265595"	11219379	11302783	"-"	"upstream"	-1647	1647	"NearestLocation"	"CG44422"	"uncharacterized protein"
"chr2R"	23934443	23934643	201	"*"	5.29	5.56	5.1	0.46	0.101	0.571	"4486"	"FBgn0263006"	23925077	23935884	"-"	"inside"	1441	1241	"NearestLocation"	"SERCA"	"Sarco/endoplasmic reticulum Ca(2+)-ATPase"
"chrX"	9140106	9140306	201	"*"	3.6	3.96	3.33	0.63	0.101	0.571	"11265"	"FBgn0265710"	9140242	9141965	"-"	"overlapEnd"	1859	64	"NearestLocation"	NA	NA
"chr2R"	23887611	23887811	201	"*"	4.69	4.99	4.47	0.51	0.101	0.571	"4477"	"FBgn0034920"	23886973	23888777	"+"	"inside"	638	638	"NearestLocation"	"CG5597"	"uncharacterized protein"
"chr3R"	18275093	18275293	201	"*"	7.06	7.26	6.93	0.33	0.101	0.571	"8785"	"FBgn0026250"	18274665	18283005	"+"	"inside"	428	428	"NearestLocation"	"eIF1A"	"eukaryotic translation initiation factor 1A"
"chr3R"	31743391	31743591	201	"*"	5.95	6.16	5.81	0.35	0.101	0.571	"10169"	"FBgn0039869"	31743490	31744248	"+"	"overlapStart"	-99	99	"NearestLocation"	"CG1890"	"uncharacterized protein"
"chr2R"	18135592	18135792	201	"*"	5.6	5.88	5.41	0.47	0.101	0.571	"3831"	"FBgn0003044"	18135426	18139990	"+"	"inside"	166	166	"NearestLocation"	"Pcl"	"Polycomblike"
"chr3R"	17247786	17247986	201	"*"	4.18	4.5	3.94	0.56	0.101	0.571	"8705"	"FBgn0265199"	17253581	17254129	"-"	"downstream"	6343	5595	"NearestLocation"	"CG44259"	"uncharacterized protein"
"chrX"	5433097	5433297	201	"*"	4.41	4.73	4.17	0.56	0.101	0.571	"10847"	"FBgn0265664"	5433439	5435797	"+"	"upstream"	-342	142	"NearestLocation"	NA	NA
"chrX"	15620670	15620870	201	"*"	6.51	6.72	6.37	0.34	0.101	0.571	"11926"	"FBgn0003463"	15603283	15633434	"-"	"inside"	12764	12564	"NearestLocation"	"sog"	"short gastrulation"
"chr2L"	7424970	7425170	201	"*"	7.62	7.77	7.52	0.25	0.101	0.571	"793"	"FBgn0262453"	7425795	7425892	"+"	"upstream"	-825	625	"NearestLocation"	NA	NA
"chr2R"	16800131	16800331	201	"*"	4.95	5.25	4.73	0.51	0.101	0.571	"3674"	"FBgn0034159"	16793119	16796407	"-"	"upstream"	-3724	3724	"NearestLocation"	"CG15615"	"uncharacterized protein"
"chr3R"	13646905	13647105	201	"*"	7.01	7.19	6.9	0.29	0.101	0.571	"8281"	"FBgn0015778"	13647004	13654527	"+"	"overlapStart"	-99	99	"NearestLocation"	"rin"	"rasputin"
"chr3R"	18439248	18439448	201	"*"	6.9	7.09	6.78	0.31	0.101	0.571	"8808"	"FBgn0051122"	18406064	18412874	"-"	"upstream"	-26374	26374	"NearestLocation"	"CG31122"	"uncharacterized protein"
"chrX"	7293416	7293616	201	"*"	6.46	6.63	6.35	0.29	0.101	0.571	"11062"	"FBgn0025549"	7288367	7291298	"-"	"upstream"	-2118	2118	"NearestLocation"	"unc-119"	"unc-119"
"chrX"	1989081	1989281	201	"*"	4.02	4.34	3.79	0.56	0.102	0.571	"10506"	"FBgn0023545"	2007911	2009364	"-"	"downstream"	20283	18630	"NearestLocation"	"PIG-K"	"Phosphatidylinositol glycan anchor biosynthesis class K"
"chr2L"	11942330	11942530	201	"*"	5.76	5.99	5.6	0.39	0.102	0.571	"1332"	"FBgn0005664"	11944129	11947131	"+"	"upstream"	-1799	1599	"NearestLocation"	"Crys"	"Crystallin"
"chr3L"	7157062	7157262	201	"*"	5.73	5.97	5.55	0.42	0.102	0.571	"5436"	"FBgn0259173"	7142991	7157073	"-"	"overlapStart"	11	11	"NearestLocation"	"corn"	"cornetto"
"chr3L"	8081923	8082123	201	"*"	6.69	6.92	6.54	0.38	0.102	0.571	"5544"	"FBgn0264705"	8081924	8083200	"-"	"overlapEnd"	1277	1	"NearestLocation"	NA	NA
"chrX"	13747263	13747463	201	"*"	5.47	5.75	5.28	0.47	0.102	0.571	"11758"	"FBgn0262108"	13744928	13745476	"+"	"downstream"	2335	1787	"NearestLocation"	NA	NA
"chr3L"	3937904	3938104	201	"*"	4.76	5.1	4.52	0.58	0.102	0.571	"5179"	"FBgn0035475"	3936060	3937992	"-"	"overlapStart"	88	88	"NearestLocation"	"CG10866"	"uncharacterized protein"
"chrX"	13634578	13634778	201	"*"	7.16	7.36	7.03	0.33	0.102	0.571	"11740"	"FBgn0030505"	13624745	13664568	"+"	"inside"	9833	9833	"NearestLocation"	"NFAT"	"NFAT nuclear factor"
"chr2L"	9782203	9782403	201	"*"	7.58	7.74	7.48	0.26	0.102	0.571	"1103"	"FBgn0032147"	9782384	9788499	"+"	"overlapStart"	-181	19	"NearestLocation"	"IP3K1"	"Inositol 1,4,5-triphosphate kinase 1"
"chr3R"	5256937	5257137	201	"*"	7.01	7.2	6.88	0.33	0.102	0.571	"7424"	"FBgn0264785"	5257037	5269507	"+"	"overlapStart"	-100	100	"NearestLocation"	"Hph"	"HIF prolyl hydroxylase"
"chr2R"	8145917	8146117	201	"*"	7.74	7.92	7.63	0.29	0.102	0.571	"2611"	"FBgn0010504"	8146918	8156654	"-"	"downstream"	10737	801	"NearestLocation"	"kermit"	"kermit"
"chr2L"	13022225	13022425	201	"*"	4.04	4.35	3.81	0.54	0.102	0.571	"1427"	"FBgn0028965"	13019575	13021312	"-"	"upstream"	-913	913	"NearestLocation"	"A16"	"A16"
"chr2L"	12529761	12529961	201	"*"	8.26	8.44	8.14	0.3	0.102	0.571	"1398"	"FBgn0261709"	12543176	12544343	"+"	"upstream"	-13415	13215	"NearestLocation"	NA	NA
"chr2L"	3545355	3545555	201	"*"	7.39	7.56	7.27	0.29	0.102	0.571	"393"	"FBgn0024244"	3539247	3548423	"+"	"inside"	6108	2868	"NearestLocation"	"drm"	"drumstick"
"chr3R"	9898152	9898352	201	"*"	3.15	2.65	3.38	-0.73	0.102	0.571	"7902"	"FBgn0266389"	9876998	9878498	"-"	"upstream"	-19654	19654	"NearestLocation"	NA	NA
"chr2R"	15380906	15381106	201	"*"	7.4	7.58	7.29	0.29	0.102	0.571	"3514"	"FBgn0000996"	15376619	15380988	"-"	"overlapStart"	82	82	"NearestLocation"	"dup"	"double parked"
"chr2R"	9164923	9165123	201	"*"	5.4	5.65	5.22	0.43	0.102	0.571	"2713"	"FBgn0033388"	9162037	9164967	"-"	"overlapStart"	44	44	"NearestLocation"	"CG8046"	"uncharacterized protein"
"chrX"	6729215	6729415	201	"*"	4.85	5.12	4.66	0.46	0.102	0.571	"11001"	"FBgn0263415"	6732717	6735917	"+"	"upstream"	-3502	3302	"NearestLocation"	NA	NA
"chr2R"	5990720	5990920	201	"*"	3.18	3.58	2.88	0.7	0.102	0.571	"2304"	"FBgn0264959"	5981844	6012795	"+"	"inside"	8876	8876	"NearestLocation"	"Src42A"	"Src oncogene at 42A"
"chr3R"	19641201	19641401	201	"*"	6.75	6.95	6.62	0.34	0.102	0.571	"8926"	"FBgn0038721"	19633418	19642722	"-"	"inside"	1521	1321	"NearestLocation"	"subdued"	"subdued"
"chr3L"	21460599	21460799	201	"*"	4.47	4.75	4.27	0.48	0.102	0.571	"7100"	"FBgn0267849"	21445834	21448128	"+"	"downstream"	14765	12471	"NearestLocation"	"Syx7"	"Syntaxin 7"
"chr3L"	2192190	2192390	201	"*"	7.35	7.52	7.23	0.29	0.102	0.571	"4960"	"FBgn0026593"	2189160	2192221	"-"	"overlapStart"	31	31	"NearestLocation"	"CG5707"	"uncharacterized protein"
"chr2R"	22063236	22063436	201	"*"	5.43	5.67	5.26	0.4	0.102	0.571	"4259"	"FBgn0034684"	22058904	22061517	"-"	"upstream"	-1719	1719	"NearestLocation"	"CG13501"	"uncharacterized protein"
"chr3L"	14051096	14051296	201	"*"	6.22	6.43	6.08	0.35	0.102	0.571	"6254"	"FBgn0036405"	14051206	14052469	"+"	"overlapStart"	-110	90	"NearestLocation"	"CG6833"	"uncharacterized protein"
"chr3R"	26935226	26935426	201	"*"	3.49	3.9	3.17	0.73	0.102	0.571	"9715"	"FBgn0039462"	26945534	26947248	"+"	"upstream"	-10308	10108	"NearestLocation"	"CG14252"	"uncharacterized protein"
"chr2L"	8325828	8326028	201	"*"	4.28	4.64	4	0.64	0.102	0.571	"927"	"FBgn0032021"	8321280	8325409	"-"	"upstream"	-419	419	"NearestLocation"	"CG7781"	"uncharacterized protein"
"chr3R"	7151211	7151411	201	"*"	5.39	5.65	5.21	0.44	0.102	0.571	"7614"	"FBgn0011020"	7151367	7154219	"+"	"overlapStart"	-156	44	"NearestLocation"	"Sas-4"	"Spindle assembly abnormal 4"
"chrX"	15043672	15043872	201	"*"	6.97	7.16	6.84	0.33	0.103	0.571	"11865"	"FBgn0030603"	15044123	15051842	"+"	"upstream"	-451	251	"NearestLocation"	"CG5541"	"uncharacterized protein"
"chr3R"	15310954	15311154	201	"*"	5.8	6.07	5.61	0.46	0.103	0.571	"8496"	"FBgn0004117"	15310193	15315197	"+"	"inside"	761	761	"NearestLocation"	"Tm2"	"Tropomyosin 2"
"chr3L"	10644271	10644471	201	"*"	4.22	4.54	3.99	0.55	0.103	0.571	"5886"	"FBgn0036094"	10643528	10644615	"+"	"inside"	743	144	"NearestLocation"	"CG14153"	"uncharacterized protein"
"chr3R"	24625539	24625739	201	"*"	7.58	7.75	7.47	0.28	0.103	0.571	"9493"	"FBgn0039212"	24623802	24625562	"-"	"overlapStart"	23	23	"NearestLocation"	"Syx18"	"Syntaxin 18"
"chr3L"	20497238	20497438	201	"*"	5.57	5.84	5.38	0.47	0.103	0.571	"6994"	"FBgn0052425"	20497323	20514107	"+"	"overlapStart"	-85	85	"NearestLocation"	"CG32425"	"uncharacterized protein"
"chr2R"	7474644	7474844	201	"*"	6.85	7.03	6.73	0.3	0.103	0.571	"2491"	"FBgn0010548"	7466879	7477162	"-"	"inside"	2518	2318	"NearestLocation"	"Aldh-III"	"Aldehyde dehydrogenase type III"
"chr2L"	12504915	12505115	201	"*"	5.14	5.47	4.9	0.57	0.103	0.571	"1393"	"FBgn0262353"	12507939	12508504	"+"	"upstream"	-3024	2824	"NearestLocation"	NA	NA
"chr2R"	12850073	12850273	201	"*"	4.62	4.89	4.43	0.46	0.103	0.571	"3192"	"FBgn0050486"	12848034	12848993	"-"	"upstream"	-1080	1080	"NearestLocation"	"CG30486"	"uncharacterized protein"
"chr2R"	12140514	12140714	201	"*"	5.43	5.7	5.25	0.45	0.103	0.571	"3101"	"FBgn0027495"	12140631	12143272	"+"	"overlapStart"	-117	83	"NearestLocation"	"Smyd4-4"	"SET and MYND domain containing, class 4, member 4"
"chr2R"	22688958	22689158	201	"*"	7.23	7.4	7.11	0.29	0.103	0.571	"4359"	"FBgn0020257"	22684955	22688987	"-"	"overlapStart"	29	29	"NearestLocation"	"Ppa"	"Partner of paired"
"chr3R"	14705259	14705459	201	"*"	3.84	4.16	3.6	0.55	0.103	0.571	"8427"	"FBgn0265140"	14664907	14697292	"-"	"upstream"	-7967	7967	"NearestLocation"	"Meltrin"	"meltrin"
"chr3R"	27660281	27660481	201	"*"	6.16	6.53	5.87	0.66	0.103	0.571	"9798"	"FBgn0002772"	27657078	27660177	"-"	"upstream"	-104	104	"NearestLocation"	"Mlc1"	"Myosin alkali light chain 1"
"chr2L"	11874474	11874674	201	"*"	5.71	6.1	5.41	0.69	0.103	0.571	"1327"	"FBgn0261805"	11853430	11853925	"+"	"downstream"	21044	20549	"NearestLocation"	"CG42751"	"uncharacterized protein"
"chr3R"	30817067	30817267	201	"*"	4	3.62	4.19	-0.57	0.103	0.571	"10097"	"FBgn0027598"	30808617	30827005	"+"	"inside"	8450	8450	"NearestLocation"	"cindr"	"CIN85 and CD2AP related"
"chr2L"	3478293	3478493	201	"*"	7.57	7.75	7.46	0.29	0.103	0.571	"385"	"FBgn0261560"	3478434	3479612	"+"	"overlapStart"	-141	59	"NearestLocation"	"Thor"	"thor"
"chr2R"	7156327	7156527	201	"*"	5.72	5.95	5.55	0.4	0.103	0.571	"2455"	"FBgn0044011"	7153738	7155424	"-"	"upstream"	-903	903	"NearestLocation"	"Spn43Ad"	"Serpin 43Ad"
"chr2R"	5992746	5992946	201	"*"	4.35	4.63	4.15	0.48	0.104	0.571	"2305"	"FBgn0264959"	5981844	6012795	"+"	"inside"	10902	10902	"NearestLocation"	"Src42A"	"Src oncogene at 42A"
"chr2R"	16585659	16585859	201	"*"	7.65	7.84	7.52	0.32	0.104	0.571	"3655"	"FBgn0003274"	16586129	16586732	"+"	"upstream"	-470	270	"NearestLocation"	"RpLP2"	"Ribosomal protein LP2"
