PeakID (cmd=annotatePeaks.pl Kirkland_LamB_DESEQ2.bed dm6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1169	chr2L	12177666	12177865	+	1.00	NA	promoter-TSS (NM_001273479)	promoter-TSS (NM_001273479)	-13	NM_001273479	34647	Dm.6694	NM_135714		atilla	CG6579|Dmel\CG6579	atilla	protein-coding
1756	chr2L	20752250	20752449	+	1.00	NA	promoter-TSS (NM_136211)	promoter-TSS (NM_136211)	-8	NM_001273709	35337	Dm.28257	NM_136210		Amacr	38E.13|CG9319|Dmel\CG9319	Alpha-methylacyl-CoA racemase	protein-coding
77	chr2L	734957	735156	+	1.00	NA	Intergenic	CpG	6694	NM_080186	48572	Dm.21712	NM_080186		Hsp60B	152031_at|CG2830|Dm21D|Dmel\CG2830|HSP60B|Hsp60|Hsp60b|Hsp64|anon-WO0140519.61|hsp60B|ms(2)06619|ms(2)21D	Heat shock protein 60B	protein-coding
8077	chr3R	24294905	24295104	+	1.00	NA	promoter-TSS (NM_142985)	promoter-TSS (NM_142985)	-74	NM_001260355	42896	Dm.2365	NM_079756		crb	0509/20|1384/04|CG6383|CRB|CT19912|Crb|Crbs|Crumbs|DmCrb|Dmel\CG6383|crumb|far|l(3)07207|l(3)S050920|l(3)S058104|l(3)j1B5	crumbs	protein-coding
9242	chrX	5430292	5430491	+	1.00	NA	promoter-TSS (NM_131995)	promoter-TSS (NM_131995)	-174	NM_131995	31461	Dm.17689	NM_131995		CG15784	Dmel\CG15784	uncharacterized protein	protein-coding
9938	chrX	13125664	13125863	+	1.00	NA	intron (NM_167348, intron 2 of 3)	intron (NM_167348, intron 2 of 3)	2867	NR_002466	3772124		NR_002466		snmRNA:204	CR33657|Dm-204|Dmel\CR33657	small non-messenger RNA 204	ncRNA
3433	chr2R	19300049	19300248	+	1.00	NA	exon (NM_137564, exon 2 of 4)	exon (NM_137564, exon 2 of 4)	1905	NM_001259488	37216	Dm.3281	NM_137564		Tab2	7417|CG7417|Dmel\CG7417|ORF1|TAB|TAB2|cg7417|dTAB2|dTab2|galere|tab-2|tab2	TAK1-associated binding protein 2	protein-coding
7710	chr3R	20838956	20839155	+	1.00	NA	intron (NM_001275857, intron 8 of 9)	intron (NM_001275857, intron 8 of 9)	-3085	NM_142663	42468	Dm.5490	NM_142663		CG15695	Dmel\CG15695|gi21356013|gi7300665	uncharacterized protein	protein-coding
10123	chrX	15139309	15139508	+	1.00	NA	promoter-TSS (NM_132777)	promoter-TSS (NM_132777)	-41	NM_132777	32446	Dm.14847	NM_132777		RpL37a	CG9091|Dmel\CG9091|RpL37|RpL37A	Ribosomal protein L37a	protein-coding
6192	chr3L	22894898	22895097	+	1.00	NA	Intergenic	Intergenic	-1130	NR_125050	19835441		NR_125050		lncRNA:CR44688	CR44688|Dmel\CR44688|lincRNA.656	long non-coding RNA:CR44688	ncRNA
7597	chr3R	19472173	19472372	+	1.00	NA	intron (NM_001043257, intron 2 of 35)	intron (NM_001043257, intron 2 of 35)	-4597	NM_001043261	42327	Dm.16710	NM_001043256		Dys	CG17750|CG31175|CG34157|CG7240|CG7243|CG7344|DLP|DLP1|DLP186|DLP2|DLP3|DYS|DmDLP|DmDYS|Dmel\CG34157|Dp117|Dp186|Dp205|GI3046716|IDLP|det|dmDLP|dmDp186|dmDys|dys	Dystrophin	protein-coding
3310	chr2R	18326410	18326609	+	1.00	NA	intron (NM_001169718, intron 1 of 12)	intron (NM_001169718, intron 1 of 12)	14687	NM_144112	50210		NM_144112		Tango8	CG14503|Dmel\CG14503|TANGO8	Transport and Golgi organization 8	protein-coding
33	chr2L	249225	249424	+	1.00	NA	non-coding (NR_073677, exon 1 of 1)	non-coding (NR_073677, exon 1 of 1)	415	NR_073677	14462649		NR_073677		lncRNA:CR44218	CR44218|Dmel\CR44218	long non-coding RNA:CR44218	ncRNA
4565	chr3L	5638652	5638851	+	1.00	NA	intron (NM_001274514, intron 1 of 5)	(AAGCA)n|Simple_repeat|Simple_repeat	2736	NM_001274514	38638	Dm.6047	NM_139725		Blimp-1	BLIMP-1|CG5249|Dmel\CG5249|blimp-1|dBlimp-1|dBlimp1	Blimp-1	protein-coding
1624	chr2L	19003213	19003412	+	1.00	NA	promoter-TSS (NM_136086)	promoter-TSS (NM_136086)	-55	NM_136086	326161	Dm.21340	NM_136086		CG31793	CG10441|CG17338|Dmel\CG31793	uncharacterized protein	protein-coding
4743	chr3L	7850987	7851186	+	1.00	NA	intron (NM_001274618, intron 1 of 5)	intron (NM_001274618, intron 1 of 5)	4462	NM_001300044	45588	Dm.1594	NM_080093		Pdp1	CG17888|DM1|DM32|Dmel\CG17888|PDP|PDP1|PDP1epsilon|Pdp-1|Pdp1 epsilon|Pdp1&e;gr|Pdp1e|Pdp1epsilon|anon-WO0140519.206|mel_pdp1|pdp|pdp1|pdp1epsilon	PAR-domain protein 1	protein-coding
3559	chr2R	21020378	21020577	+	1.00	NA	intron (NM_001103919, intron 4 of 10)	intron (NM_001103919, intron 4 of 10)	1414	NM_001299729	37384	Dm.15773	NM_137693		RIC-3	CG15652|CG30296|CG9349|DmRIC-3|Dmel\CG30296	RIC3 acetylcholine receptor chaperone	protein-coding
9167	chrX	4131088	4131287	+	1.00	NA	promoter-TSS (NM_167003)	promoter-TSS (NM_167003)	-24	NM_167003	251900	Dm.3928	NM_167003		GlcAT-I	BcDNA:GH05057|CAA21824|CG32775|DGlcAT-I|DmGlcAT-I|Dmel\CG32775|EG:EG0007.5|GH05057p|GlcAT1|RE38067|dGlcAT-I	Glucuronyltransferase I	protein-coding
3474	chr2R	19605150	19605349	+	1.00	NA	promoter-TSS (NR_124624)	promoter-TSS (NR_124624)	46	NR_124624	19836054		NR_124624		lncRNA:CR44474	CR44474|Dmel\CR44474	long non-coding RNA:CR44474	ncRNA
7584	chr3R	19162193	19162392	+	1.00	NA	promoter-TSS (NM_169850)	promoter-TSS (NM_169850)	8	NM_142530	7354421	Dm.10164	NM_142530		Nsun5	CG42358|CG5558|Dmel\CG42358|Dmel_CG5558|dNsun5	Nop2/Sun-like domain containing protein 5	protein-coding
1791	chr2L	20926046	20926245	+	1.00	NA	promoter-TSS (NM_136233)	promoter-TSS (NM_136233)	2	NM_136233	35364	Dm.2209	NM_136233		RPA2	153194_at|CG9273|Dmel\CG9273|RpA2|dRPA2	Replication protein A2	protein-coding
1927	chr2R	5608840	5609039	+	1.00	NA	intron (NM_001259212, intron 1 of 1)	intron (NM_001259212, intron 1 of 1)	304	NM_001259212	49893	Dm.5995	NM_143844		CG17508	Dmel\CG17508	uncharacterized protein	protein-coding
4849	chr3L	8662183	8662382	+	1.00	NA	Intergenic	Intergenic	12811	NM_001144442	38994	Dm.15472	NM_139994		Pex7	CG6486|DmelPex7|Dmel\CG6486|PEX7	Peroxin 7	protein-coding
9089	chrX	3295095	3295294	+	1.00	NA	promoter-TSS (NM_166969)	promoter-TSS (NM_166969)	-87	NM_166969	31309	Dm.4817	NM_080322		dnc	CG10791|CG10792|CG10797|CG14267|CG14268|CG32498|DNC|Dmel\CG32498|Dunce|EG:140G11.4|EG:96G10.7|EG:BACN05I09.3|EG:BACN5I9.2|PDE|PDE4|PDEII|fs(1)M42	dunce	protein-coding
3239	chr2R	17572706	17572905	+	1.00	NA	promoter-TSS (NM_166240)	promoter-TSS (NM_166240)	-21	NM_001274128	36991	Dm.6861	NM_137389		UQCR-6.4	CG14482|Dmel\CG14482|UCRY	Ubiquinol-cytochrome c reductase 6.4 kDa subunit	protein-coding
3400	chr2R	18947198	18947397	+	1.00	NA	promoter-TSS (NM_166316)	promoter-TSS (NM_166316)	-20	NM_079064	37185	Dm.695	NM_079064		sano	CG12758|Dmel\CG12758	serrano	protein-coding
9540	chrX	8502139	8502338	+	1.00	NA	promoter-TSS (NM_001103442)	promoter-TSS (NM_001103442)	-128	NM_001103442	318916	Dm.20779	NM_176712		CG33181	CG1521|CG32714|Dmel\CG33181	uncharacterized protein	protein-coding
1259	chr2L	13219799	13219998	+	1.00	NA	promoter-TSS (NM_135773)	promoter-TSS (NM_135773)	25	NM_135772	34719	Dm.13511	NM_135772		CG9426	Dmel\CG9426|Ipp	uncharacterized protein	protein-coding
1312	chr2L	13897387	13897586	+	1.00	NA	exon (NM_165068, exon 7 of 7)	exon (NM_165068, exon 7 of 7)	3284	NM_165068	34803	Dm.1977	NM_078838		CenG1A	AGAP|BG:DS08220.1|CG16866|CG16867|CG31811|CG7982|CenG1a|Dmel\CG31811|cenG|cenG1A|cenG1a|ceng1A	Centaurin gamma 1A	protein-coding
3095	chr2R	16143074	16143273	+	1.00	NA	promoter-TSS (NM_137243)	promoter-TSS (NM_137243)	26	NM_137243	36784	Dm.1572	NM_137243		CysRS	Aats-cys|BcDNA:LD21177|CG8431|CRS|Dmel\CG8431	Cysteinyl-tRNA synthetase	protein-coding
8485	chr3R	29778735	29778934	+	1.00	NA	TTS (NM_143467)	TTS (NM_143467)	1618	NM_143467	43511	Dm.29813	NM_143467		fig	CG7615|Dmel\CG7615	fos intronic gene	protein-coding
1539	chr2L	18119622	18119821	+	1.00	NA	promoter-TSS (NM_165240)	promoter-TSS (NM_165240)	-274	NM_001299100	35083	Dm.19847	NM_136022		CG5758	Dmel\CG5758	uncharacterized protein	protein-coding
9931	chrX	13087402	13087601	+	1.00	NA	intron (NM_001272571, intron 1 of 9)	intron (NM_001272571, intron 1 of 9)	2933	NM_001272572	32256	Dm.5867	NM_078587		hep	CG2190|CG4353|D-MKK7|DHEP/MKK7|DJNKK|DMKK7|Dmel\CG4353|HEP|HEP/MKK7|Hep|Hep/Mkk7|JNKK|Jnkk|MAP2K7|MAPKK|MKK7|Mkk7|dJNKK|dMKK7|hem|hep/JNKK|hp|hrp|l(1)7P1|l(1)G0107|l(1)G0208	hemipterous	protein-coding
4446	chr3L	3905204	3905403	+	1.00	NA	promoter-TSS (NM_139580)	promoter-TSS (NM_139580)	-41	NM_139580	45574	Dm.5286	NM_139580		ida	APC5|Apc5|CG10850|Dmel\CG10850|IDA|Ida|l(3)63Fb|l(3)SH7	imaginal discs arrested	protein-coding
5185	chr3L	11708668	11708867	+	1.00	NA	promoter-TSS (NM_206340)	promoter-TSS (NM_206340)	-212	NM_206340	39320	Dm.29643	NM_206340		Ccdc56	CCDC56|CG42630|CG7319|Dmel\CG42630|Dmel_CG7319|ccdc56	Coiled-coil domain containing 56	protein-coding
4154	chr3L	1102409	1102608	+	1.00	NA	Intergenic	Intergenic	-1419	NM_001274310	38116	Dm.14837	NM_167852		bab1	BAB|BAB-1|BAB1|Bab1|CG13910|CG9097|Dmel\CG9097|anon-WO0118547.639|bab|bab-I|bric-a-brac	bric a brac 1	protein-coding
1402	chr2L	15609215	15609414	+	1.00	NA	promoter-TSS (NR_124288)	promoter-TSS (NR_124288)	-857	NR_124288	19835314		NR_124288		lncRNA:CR44865	CR44865|Dmel\CR44865	long non-coding RNA:CR44865	ncRNA
8827	chrX	900966	901165	+	1.00	NA	intron (NM_001272180, intron 1 of 12)	intron (NM_001272180, intron 1 of 12)	-1793	NM_001272179	31031	Dm.26421	NM_058041		CG43867	CG12467|CG14632|CG14633|CG42248|Dmel\CG43867|Dmel_CG12467|Dmel_CG14632|Dmel_CG14633|Dmel_CG42248|EG:34F3.1|EG:34F3.2	uncharacterized protein	protein-coding
7336	chr3R	16305581	16305780	+	1.00	NA	promoter-TSS (NM_080499)	promoter-TSS (NM_080499)	-78	NM_080499	41975	Dm.5394	NM_080499		Zip89B	CG6898|Dmel\CG6898|ZIP3|ZIP89B|Zip3|cg6898|dZIP89B|dZip3|dZip89B	Zinc/iron regulated transporter-related protein 89B	protein-coding
2455	chr2R	10314508	10314707	+	1.00	NA	intron (NM_136731, intron 1 of 11)	intron (NM_136731, intron 1 of 11)	716	NM_136731	36089	Dm.11018	NM_136731		Ndg	BEST:CK00552|CG12908|CT32053|Dmel\CG12908|ndg	Nidogen/entactin	protein-coding
1798	chr2L	21096722	21096921	+	1.00	NA	promoter-TSS (NM_001042906)	promoter-TSS (NM_001042906)	-101	NM_001042906	4379892	Dm.24354	NM_001042906		CG34136	Dmel\CG34136	uncharacterized protein	protein-coding
814	chr2L	8362341	8362540	+	1.00	NA	promoter-TSS (NM_135371)	promoter-TSS (NM_135371)	29	NM_135371	34148	Dm.353	NM_135371		CG7627	Dme_CG7627|Dmel\CG7627	uncharacterized protein	protein-coding
3736	chr2R	22589499	22589698	+	1.00	NA	intron (NM_001274208, intron 1 of 3)	intron (NM_001274208, intron 1 of 3)	3366	NM_137836	37575	Dm.13001	NM_137836		dnr1	CG12489|DNR1|Dmel\CG12489|Dnr-1|Dnr1|dNR1	defense repressor 1	protein-coding
8662	chr3R	31772084	31772283	+	1.00	NA	promoter-TSS (NM_143637)	promoter-TSS (NM_143637)	-36	NM_001276223	43747	Dm.1395	NM_143637		sip3	CG1937|Dmel\CG1937|HRD1|Hrd1|Sip3|dHRD1|dSyno|hrd1	septin interacting protein 3	protein-coding
643	chr2L	6964156	6964355	+	1.00	NA	promoter-TSS (NM_164725)	promoter-TSS (NM_164725)	-166	NM_001298768	44701	Dm.1822	NM_080038		Coprox	BcDNA:GM14838|CG3433|Dmel\CG3433|l(2)k10617|l(2)k11018	Coproporphyrinogen oxidase	protein-coding
544	chr2L	6006630	6006829	+	1.00	NA	promoter-TSS (NM_135134)	promoter-TSS (NM_135134)	98	NM_135134	33839	Dm.11912	NM_135134		Gal	CG9092|DmelGal|Dmel\CG9092|beta-GAL|beta-Gal-1|beta-gal|dbeta-Gal|gal|lacZ-1	beta galactosidase	protein-coding
1453	chr2L	16535679	16535878	+	1.00	NA	promoter-TSS (NR_124309)	promoter-TSS (NR_124309)	-550	NR_124309	19835975		NR_124309		lncRNA:CR45355	CR45355|Dmel\CR45355	long non-coding RNA:CR45355	ncRNA
6979	chr3R	12303011	12303210	+	1.00	NA	TTS (NM_169459)	TTS (NM_169459)	-8243	NM_141917	41493	Dm.27269	NM_141917		CG4066	Dmel\CG4066	uncharacterized protein	protein-coding
2371	chr2R	9830574	9830773	+	1.00	NA	intron (NM_165700, intron 1 of 1)	intron (NM_165700, intron 1 of 1)	683	NM_165701	36011	Dm.7813	NM_165699		hebe	CG1623|Dmel\CG1623	hebe	protein-coding
1242	chr2L	13121851	13122050	+	1.00	NA	Intergenic	(CAG)n|Simple_repeat|Simple_repeat	2656	NM_001259088	12798184	Dm.37318	NM_001259088		CG43050	DMG8-chr2L.24.001|Dmel\CG43050|TCONS_00035985|lincRNA.126	uncharacterized protein	protein-coding
1938	chr2R	5711355	5711554	+	1.00	NA	intron (NM_001169587, intron 4 of 7)	CpG	-2162	NM_078897	35509	Dm.4746	NM_078897		ap	AP|Ap|Apt|CG8376|Dmel\CG8376|LIM|S-2a|Xa|blt|neuro|trw	apterous	protein-coding
5904	chr3L	19663704	19663903	+	1.00	NA	promoter-TSS (NM_140883)	promoter-TSS (NM_140883)	-139	NM_001275130	40146	Dm.5485	NM_140883		tey	CG8780|Dmel\CG8780	teyrha-meyrha	protein-coding
3329	chr2R	18421259	18421458	+	1.00	NA	promoter-TSS (NM_166286)	promoter-TSS (NM_166286)	-55	NM_166286	37117	Dm.7079	NM_137487		CG5174	BcDNA:RE18604|BcDNA:RH27395|Dmel\CG5174	uncharacterized protein	protein-coding
3996	chr2R	24944546	24944745	+	1.00	NA	promoter-TSS (NM_138141)	promoter-TSS (NM_138141)	-45	NM_138140	37990	Dm.7976	NM_138140		CG15861	Dmel\CG15861|R5_2R:20832201..20832579	uncharacterized protein	protein-coding
7823	chr3R	21930410	21930609	+	1.00	NA	Intergenic	Intergenic	16762	NM_142741	42583	Dm.1599	NM_142741		Qsox2	CG17843|DmQSOX2|Dmel\CG17843|Erv1|anon-WO0140519.66	Quiescin sulfhydryl oxidase 2	protein-coding
3686	chr2R	22174731	22174930	+	1.00	NA	promoter-TSS (NM_137803)	promoter-TSS (NM_137803)	-92	NM_137803	37532	Dm.11634	NM_137803		CG6758	Dmel\CG6758|FBXO6	uncharacterized protein	protein-coding
9756	chrX	10899375	10899574	+	1.00	NA	promoter-TSS (NM_132436)	promoter-TSS (NM_132436)	-172	NM_132435	32021	Dm.11248	NM_132435		CG1582	Dmel\CG1582|cg1582	uncharacterized protein	protein-coding
6887	chr3R	11341617	11341816	+	1.00	NA	intron (NM_001260115, intron 2 of 7)	intron (NM_001260115, intron 2 of 7)	-5409	NR_133375	26067329		NR_133375		lncRNA:CR46008	CR46008|Dmel\CR46008	long non-coding RNA:CR46008	ncRNA
9624	chrX	9291234	9291433	+	1.00	NA	intron (NM_001103449, intron 3 of 4)	intron (NM_001103449, intron 3 of 4)	6684	NM_078544	31883	Dm.2929	NM_078544		lz	CG1689|Dmel\CG1689|LZ|Lozenge|Lz|amx|fs(1)A1569|fs(1)M69|spe	lozenge	protein-coding
10368	chrX	17652489	17652688	+	1.00	NA	promoter-TSS (NM_167573)	promoter-TSS (NM_167573)	-26	NM_001272729	32743	Dm.20384	NM_133003		RhoGAPp190	8267|BcDNA:GH17919|BcDNA:GM05133|CG32555|CG8240|CG8267|D-p190|DRhoGAP|Dmel\CG32555|RhoGAP|RhoGAP P190|RhoGAP-16B12|mdcds_56566|p190|p190 RhoGAP|p190-RhoGAP|p190RhoGAP	Rho GTPase activating protein p190	protein-coding
8831	chrX	940859	941058	+	1.00	NA	promoter-TSS (NM_130517)	promoter-TSS (NM_130517)	-117	NM_130517	31044	Dm.48	NM_130517		mus81	CG3026|Dmel\CG3026|EG:BACR7A4.16|Mus81	mus81	protein-coding
5970	chr3L	20348463	20348662	+	1.00	NA	promoter-TSS (NM_176369)	promoter-TSS (NM_176369)	207	NM_140953	40240	Dm.2095	NM_140953		eRF1	CG5605|Dm0184|Dmel\CG5605|Group J|group J|l(3)00103|l(3)05637|l(3)77ABb|l(3)neo28	eukaryotic translation release factor 1	protein-coding
2760	chr2R	13038833	13039032	+	1.00	NA	Intergenic	Intergenic	8324	NM_001299441	36433	Dm.24504	NM_136988		CG13323	Dmel\CG13323	uncharacterized protein	protein-coding
520	chr2L	5542948	5543147	+	1.00	NA	promoter-TSS (NM_164648)	promoter-TSS (NM_164648)	-53	NM_001258963	33782	Dm.312	NM_057268		Lam	2459|74/76|CG6944|D5|DM[[O]]|D[[m0]]|Dm|Dm(0)|Dm0|Dm1|Dm2|DmLamin|DmO|Dm[[0]]|Dm[[1]]|Dm[[2]]|Dm[[mit]]|Dm[[o]]|Dmel\CG6944|Dmo|LAM|Lam Dm0|Lam Dm[[0]]|Lam(Dm0)|LamDm|LamDm0|LamDm[[0]]|LamDm[[o]]|Lam[[Dm0]]|Lamin B|Lamin Dm[[0]]|LaminB|jf27|l(2)04643|l(2)25Ec|l(2)gdh-7|l(2)gdh7|l(2)jf27|lam|lamDm0|lamDm[[0]]|lamin|lamin B|lamin Dm0|lamin DmO|lamin Dm[[0]]|lamin-B|misg|nlam	Lamin	protein-coding
7729	chr3R	21060545	21060744	+	1.00	NA	promoter-TSS (NM_206529)	promoter-TSS (NM_206529)	9	NM_001170197	42490	Dm.2388	NM_079701		Mvl	CG3671|DMT1|Dmel\CG3671|NRM2|dNRAMP|mvl	Malvolio	protein-coding
9927	chrX	12905340	12905539	+	1.00	NA	intron (NM_132610, intron 1 of 1)	intron (NM_132610, intron 1 of 1)	579	NM_132610	32241	Dm.5320	NM_132610		CG4404	Dmel\CG4404	uncharacterized protein	protein-coding
9791	chrX	11372829	11373028	+	1.00	NA	promoter-TSS (NM_001169249)	promoter-TSS (NM_001169249)	-97	NM_001169249	32083	Dm.4352	NM_078565		dlg1	11|CG1725|CG1730|CPD|DLG|DLG-A|DLG1|Discs-large|Dlg|Dlg-A|Dlg1|DlgA|DlgS97|Dmel\CG1725|Drodlg|PSD-95|PSD95|SAP97|anon-EST:Posey93|anon-WO03040301.258|anon-WO03040301.260|anon-WO03040301.268|d. lg.-1|dlg|dlg-1|dlg-A|dlgA|dlgS97|l(1)10Bf|l(1)G0276|l(1)G0342|l(1)G0456|l(1)G19|l(1)L11|l(1)bwn|l(1)d.lg-1|l(1)d.lg.-1|l(1)discs large|l(1)dlg|l(1)dlg-1|l(1)dlg1|l(1)l.pr.-2|l(1)lpr-2|misb	discs large 1	protein-coding
3951	chr2R	24552944	24553143	+	1.00	NA	intron (NM_001169823, intron 2 of 3)	intron (NM_001169823, intron 2 of 3)	3257	NM_001038882	37919	Dm.3584	NM_138085		CG4622	Dmel\CG4622|Itp|ZCHC8|dZcchc8	uncharacterized protein	protein-coding
1167	chr2L	12133962	12134161	+	1.00	NA	promoter-TSS (NM_176024)	promoter-TSS (NM_176024)	-650	NM_001298943	34640		NM_176024		rho-6	CG17212|Dmel\CG17212|Rho-related [33C1]|rho 6|rho6	rhomboid-6	protein-coding
6578	chr3R	8111984	8112183	+	1.00	NA	TTS (NR_125107)	TTS (NR_125107)	1920	NR_125106	19835062		NR_125106		lncRNA:CR44331	CR44331|Dmel\CR44331	long non-coding RNA:CR44331	ncRNA
6894	chr3R	11421831	11422030	+	1.00	NA	promoter-TSS (NM_169389)	promoter-TSS (NM_169389)	-162	NM_169389	41370	Dm.4560	NM_169389		CG5270	Dmel\CG5270	uncharacterized protein	protein-coding
1540	chr2L	18135441	18135640	+	1.00	NA	intron (NM_057241, intron 2 of 5)	intron (NM_057241, intron 2 of 5)	2543	NM_165242	35084	Dm.17986	NM_057241		kel	CG7210|Dm.Ring_canal/KELC_DROME|Dmel\CG7210|Kel|Kelch	kelch	protein-coding
5607	chr3L	16780457	16780656	+	1.00	NA	promoter-TSS (NM_140662)	promoter-TSS (NM_140662)	-79	NM_001275043	39875	Dm.7196	NM_140663		CG9705	Dmel\CG9705	uncharacterized protein	protein-coding
1089	chr2L	11011017	11011216	+	1.00	NA	promoter-TSS (NM_164956)	promoter-TSS (NM_164956)	-30	NM_135634	34528	Dm.30827	NM_135634		Art8	CG16840|DART8|Dart8|Dmel\CG16840|dART8	Arginine methyltransferase 8	protein-coding
4206	chr3L	1586510	1586709	+	1.00	NA	promoter-TSS (NM_001316470)	promoter-TSS (NM_001316470)	-85	NM_001316470	38186	Dm.9421	NM_139371		CG13917	Dmel\CG13917	uncharacterized protein	protein-coding
10712	chrX	23013349	23013548	+	1.00	NA	promoter-TSS (NM_001298612)	promoter-TSS (NM_001298612)	-39	NM_001272856	3355163	Dm.11159	NM_001042856		Rab21	AAF45341|CG17515|CG40304|DmRab21|Dmel\CG17515|Q7PLE8|anon-EST:Posey237|rab21	Rab21	protein-coding
6425	chr3R	5813231	5813430	+	1.00	NA	promoter-TSS (NM_001202252)	promoter-TSS (NM_001202252)	-279	NM_001202252	40722	Dm.8008	NM_141336		CG42675	CG10999|CG31554|Dmel\CG42675|Dmel_CG10999|Dmel_CG31554|anon-WO0140519.247	uncharacterized protein	protein-coding
8115	chr3R	24669251	24669450	+	1.00	NA	intron (NM_001014651, intron 1 of 22)	intron (NM_001014651, intron 1 of 22)	1204	NM_001014653	42940	Dm.19520	NM_079762		slo	BcDNA:GH10751|CG10693|Dmel\CG10693|Dslo|Slo|Slo1|dSlo|dSlo1|dslo|fSlo	slowpoke	protein-coding
9312	chrX	6091312	6091511	+	1.00	NA	promoter-TSS (NM_167059)	promoter-TSS (NM_167059)	60	NM_078500	31544	Dm.2949	NM_078500		Mipp2	CG4317|Dmel\CG4317|l(1)G0050|l(1)G0303|mipp2	Multiple inositol polyphosphate phosphatase 2	protein-coding
7034	chr3R	12995055	12995254	+	1.00	NA	promoter-TSS (NM_141991)	promoter-TSS (NM_141991)	-7	NM_141990	41596	Dm.1175	NM_141990		yellow-f2	CG8063|DI|Dmel\CG8063|yel-f2	yellow-f2	protein-coding
9259	chrX	5716012	5716211	+	1.00	NA	promoter-TSS (NM_001297975)	promoter-TSS (NM_001297975)	-639	NM_001297975	31491	Dm.31073	NM_176685		CG33080	CG15774|CG15775|CG3141|Dmel\CG33080	uncharacterized protein	protein-coding
5415	chr3L	14708724	14708923	+	1.00	NA	intron (NM_001274915, intron 1 of 8)	intron (NM_001274915, intron 1 of 8)	2072	NM_001104136	44297	Dm.1637	NM_080000		ome	BEST:LD21715|CG17705|CG32143|CG32145|CG42280|CG9370|Dmel\CG42280|Dmel_CG32143|Dmel_CG32145|LD21715|Ome	omega	protein-coding
2277	chr2R	8928065	8928264	+	1.00	NA	promoter-TSS (NM_136583)	promoter-TSS (NM_136583)	-5	NM_136583	35893	Dm.11534	NM_136583		PAN2	A1Z7K9|CG8232|Dmel\CG8232|Pan2|pan2	Poly(A)-binding protein-dependent poly(A) ribonuclease 2	protein-coding
8838	chrX	1041497	1041696	+	1.00	NA	exon (NM_206601, exon 2 of 8)	exon (NM_206601, exon 2 of 8)	-4628	NM_001042791	7354475	Dm.36756	NM_001042791		CG42259	C|Dmel\CG42259|anon-1Ea	uncharacterized protein	protein-coding
4830	chr3L	8570057	8570256	+	1.00	NA	TTS (NR_073920)	TTS (NR_073920)	821	NR_073920	14462842		NR_073920		lncRNA:CR43910	CR43910|Dmel\CR43910	long non-coding RNA:CR43910	ncRNA
7226	chr3R	15219094	15219293	+	1.00	NA	promoter-TSS (NM_142175)	promoter-TSS (NM_142175)	-63	NM_142175	41834	Dm.4143	NM_142175		CG12241	Dmel\CG12241	uncharacterized protein	protein-coding
1931	chr2R	5663127	5663326	+	1.00	NA	promoter-TSS (NR_124441)	promoter-TSS (NR_124441)	-4	NM_136332	35501	Dm.2133	NM_136332		Not3	CG8426|CNOT3|Dmel\CG8426|NOT3|NOT3.5|NOT3/5|l(2)NC136|not3	CCR4-NOT transcription complex subunit 3	protein-coding
9539	chrX	8469744	8469943	+	1.00	NA	promoter-TSS (NM_132253)	promoter-TSS (NM_132253)	-831	NM_132253	31782	Dm.5224	NM_132253		CG12116	144701_at|Dmel\CG12116	uncharacterized protein	protein-coding
2378	chr2R	9847824	9848023	+	1.00	NA	promoter-TSS (NM_165703)	promoter-TSS (NM_165703)	-87	NM_165703	36018	Dm.2041	NM_165703		Prosalpha7	1519|Alpha-7|Alpha7|CG1519|CPalpha7|Dmel\CG1519|PROSalpha7|PSA3_DROME|alpha-7|alpha7|alpha7_dm	Proteasome alpha7 subunit	protein-coding
3240	chr2R	17581451	17581650	+	1.00	NA	promoter-TSS (NM_079054)	promoter-TSS (NM_079054)	-25	NM_079054	36993	Dm.7764	NM_079054		Dcr-2	CG6493|DCR-2|DCR2|DICER|DICER-2|Dcr|Dcr2|Dicer|Dicer2|Dmel\CG6493|cg6493|dDcr2|dcr|dcr-2|dcr2|dic2|dicer|dicer-2|dicer2|dmDcr-2	Dicer-2	protein-coding
4803	chr3L	8360851	8361050	+	1.00	NA	promoter-TSS (NM_176298)	promoter-TSS (NM_176298)	-44	NM_168267	44291	Dm.4678	NM_143787		Idh	CG7176|CT22171|Dmel\CG7176|ICDH|IDH|IDH (CG7176)|IDH-NADP|Idh-NADP|cIdh|idh|isocitrate dehydrogenase|l(3)L3852	Isocitrate dehydrogenase	protein-coding
267	chr2L	2957124	2957323	+	1.00	NA	5' UTR (NM_134298, exon 1 of 8)	5' UTR (NM_134298, exon 1 of 8)	312	NM_001014462	33498	Dm.4071	NM_057588		Rbp9	CG15402|CG3151|Dmel\CG3151|RBP9|RBP9-2|RRM10|RRM9|Rbp10|Rpb9|fes|fs(2)B|rbp|rbp9|rbp9a|rrm10|rrm9	RNA-binding protein 9	protein-coding
